V10,V14,V4,V17,V12,V8,V18,V20,V26,V13,Amount
-9.5,-12.0,6.0,-16.0,-6.0,0.0,0.0,0.0,0.0,0.0,1000.0
-5.0,-8.0,4.0,-10.0,-3.0,0.0,0.0,0.0,0.0,0.0,500.0
-1.0,-2.0,1.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,100.0
-7.0,-9.0,5.5,-14.0,-4.5,0.0,0.0,0.0,0.0,0.0,750.0
-10.0,-13.0,7.0,-18.0,-7.0,0.0,0.0,0.0,0.0,0.0,2000.0
0.5,1.0,0.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0
1.0,2.0,1.5,3.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0
-0.5,-1.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,75.0
2.0,3.0,2.5,4.0,3.0,0.0,0.0,0.0,0.0,0.0,150.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
-3.0,-4.0,2.0,-5.0,-2.0,0.0,0.0,0.0,0.0,0.0,300.0
-2.0,-3.0,1.5,-4.0,-1.5,0.0,0.0,0.0,0.0,0.0,200.0
-4.0,-6.0,3.0,-8.0,-2.5,0.0,0.0,0.0,0.0,0.0,400.0
-6.0,-10.0,4.5,-12.0,-3.5,0.0,0.0,0.0,0.0,0.0,600.0
-8.0,-11.0,5.0,-15.0,-5.0,0.0,0.0,0.0,0.0,0.0,800.0
1.5,2.5,2.0,3.5,2.5,0.0,0.0,0.0,0.0,0.0,120.0
-1.5,-2.5,0.5,-3.5,-1.0,0.0,0.0,0.0,0.0,0.0,90.0
-0.8,-1.2,0.2,-2.2,-0.8,0.0,0.0,0.0,0.0,0.0,60.0
3.0,4.0,3.5,5.0,4.0,0.0,0.0,0.0,0.0,0.0,180.0
-2.5,-4.5,1.8,-6.0,-2.0,0.0,0.0,0.0,0.0,0.0,250.0
